What is your age?,When do you prefer to study?,View Count,Like Count
24-26,Evening,3252,313
18-20,Afternoon,1685,245
24-26,Evening,4043,399
24-26,Morning,7655,427
18-20,Afternoon,3173,185
18-20,Evening,1121,46
24-26,Evening,3943,86
21-23,Night,8089,607
24-26,Morning,9792,698
24-26,Evening,6973,405
24-26,Evening,5775,126
24-26,Morning,261,11
18-20,Evening,4397,494
24-26,Morning,1095,134
21-23,Morning,7729,763
18-20,,9567,1343
21-23,,1116,116
21-23,Night,7969,1107
21-23,Afternoon,6539,853
21-23,Morning,7992,626
18-20,Evening,6963,225
18-20,Evening,8016,546
21-23,Morning,8629,922
21-23,Evening,978,104
18-20,Morning,9368,907
